title,popularity,vote_average,runtime,genres,original_language,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,ScienceFiction,TVMovie,Thriller,Unknown,War,Western
Atlantic Rim,0.6,2.476,85,"Action,ScienceFiction",en,105,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Combustion,0.6,5.457,104,Action,es,104,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White Elephant,0.6,6.689,105,Drama,es,103,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Cinco de Mayo: The Battle,0.6,7.641,125,"War,History,Drama",es,71,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
Embrace of the Vampire,0.6,4.457,91,Horror,en,70,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Camille Claudel, 1915",0.6,6.2,95,Drama,fr,64,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Go Trabi Go,0.6,5.546,92,Comedy,de,54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battledogs,0.6,4.577,85,"Action,Horror,ScienceFiction",en,52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
Dragon Wasps,0.6,4.894,80,"Action,ScienceFiction",en,52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mistaken for Strangers,0.6,7.2,75,"Documentary,Music,Comedy",en,49,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Britt-Marie Was Here,0.6,4.948,98,"Drama,Comedy",sv,48,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Viking Saga: The Darkest Day,0.6,3.833,82,"Adventure,Action,Thriller",en,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Anna Nicole,0.6,5.078,90,Drama,en,44,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Eddie Izzard: Glorious,0.6,6.976,99,Comedy,en,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Violeta Went to Heaven,0.6,6.913,110,Drama,es,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Himmatwala,0.6,3.25,150,"Action,Comedy,Drama",hi,38,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Caged Flower,0.6,5.8,94,"Drama,History",ja,38,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Vampiros DF,1.278,5.625,120,Unknown,en,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Jester: Chapter 3,1.215,7.1,14,Horror,en,34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Farruko: En letra de otro,1.238,7.706,47,"Documentary,Music",es,34,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
As Seen Through a Telescope,1.277,5.471,1,Comedy,en,34,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Composition in Blue,1.166,6.7,4,Animation,en,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Optical Poem,1.21,6.6,6,"Animation,Music",en,33,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Saving Banksy,1.183,6.4,80,Documentary,en,33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Partie de boules,1.248,5.621,1,Unknown,xx,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Aurora,1.192,7.0,90,Drama,es,33,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Lavatory Lovestory,1.275,6.6,10,Animation,ru,33,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hey Qween - Holigay Special,1.25,5.4,44,Unknown,en,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Panorama de l'arrivée en gare de Perrache pris du train,1.141,5.8,1,Documentary,fr,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sorority Party Massacre,0.6,4.6,103,"Thriller,Horror",en,32,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
Springtime for Thomas,1.257,6.953,8,"Comedy,Animation",en,32,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Slayer,1.175,5.5,30,"Horror,Mystery",en,32,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Happy Valley,1.277,6.8,98,Documentary,en,32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knife Fight,0.6,5.125,99,Drama,en,32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ARK,1.162,6.306,8,"Animation,ScienceFiction",en,31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Vir Das: Abroad Understanding,1.206,6.823,65,Comedy,en,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baby's First Steps,1.133,5.6,1,Documentary,fr,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"London, Cinematography Entry",1.145,5.5,1,Documentary,fr,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FF,1.178,6.0,3,Documentary,en,31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Goalie's Anxiety at the Penalty Kick,1.229,5.6,101,Drama,de,31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Fire Rescue Scene,1.147,4.983,1,Drama,xx,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The F-Word,1.087,6.6,12,Documentary,ru,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb Elementary,1.135,7.0,20,Drama,en,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Panorama from Top of a Moving Train,1.079,5.2,1,Documentary,fr,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Box,1.064,4.5,2,Unknown,en,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Point and Shoot,1.201,6.7,82,Documentary,en,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two Solutions for One Problem,1.161,5.6,5,Documentary,fa,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Don't Shoot,1.276,7.4,139,"Drama,History",nl,29,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Special Delivery,1.106,6.7,7,"Animation,Comedy,Crime",en,29,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese Series,1.149,5.052,3,Unknown,en,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
23-F: la película,0.744,5.5,105,"History,Drama",es,29,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Up-to-Date Spiritualism,1.037,5.569,1,"Fantasy,Comedy",fr,29,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Extraordinary Illusions,1.12,6.0,2,Comedy,fr,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Arroseur et arrosé, III",1.071,6.0,1,Comedy,fr,29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Concerto Is a Conversation,1.121,6.9,13,"Documentary,Music",en,29,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
A Street in Palermo,1.122,6.1,90,"Drama,Comedy",it,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Lake,1.069,6.431,85,Drama,fr,29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamín's Wife,1.107,7.3,90,"Comedy,Drama",es,29,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Bassin des Tuileries,1.112,5.103,1,Documentary,en,29,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
All the Rage,1.239,5.9,105,"Comedy,Romance",en,28,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Agent Macaw: Shaken & Stirred,1.229,7.107,97,Animation,es,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25 Watts,1.219,6.732,94,"Comedy,Drama",es,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Pan-American Exposition by Night,1.039,5.821,1,Unknown,en,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Dust,1.171,5.9,107,"Comedy,Drama,ScienceFiction",ru,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Mon héroïne,1.194,6.2,108,Comedy,fr,28,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The White Stripes: Under Great White Northern Lights,1.165,7.196,93,"Documentary,Music",en,28,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Barnyard Battle,1.04,5.589,8,Animation,en,28,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deceptive Practice: The Mysteries and Mentors of Ricky Jay,1.005,6.839,88,Documentary,en,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adventures of Mowgli: Return to Mankind,1.092,6.9,20,"Adventure,Animation,Family",ru,28,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15/67: TV,0.996,4.362,4,Drama,de,28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Chacrinha: O Velho Guerreiro,1.055,6.3,113,"Drama,Comedy",pt,28,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Nostos: The Return,1.055,7.2,85,"Drama,Adventure",it,28,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Trade Tattoo,0.992,5.9,5,Animation,en,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seb's Papuan Adventure,1.012,6.6,60,"Documentary,Adventure",fr,27,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Vampires of Poverty,1.024,7.5,29,Comedy,es,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Le goûter des bébés,1.032,5.056,1,Documentary,fr,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Just, Melvin: Just Evil",1.002,6.481,75,"Documentary,Crime",en,27,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Crab Revolution,1.221,6.833,5,Animation,fr,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vegucated,1.058,6.9,76,Documentary,en,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Here We Are Waiting for You,0.961,8.6,73,Documentary,pt,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigation Held by Kolobki,1.262,7.4,21,Animation,ru,27,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Irmã Dulce,1.063,7.6,107,"Drama,History",pt,27,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Visual Training,1.266,5.63,8,Unknown,en,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Shootout at Wadala,0.6,6.1,150,"Action,Crime,Drama,History",hi,27,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
To Kill a Man,1.177,6.0,82,"Thriller,Drama",es,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Champs-Élysées,1.079,5.296,1,Unknown,fr,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,0.97,5.63,17,Drama,en,27,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Other Side of the Wall,0.97,7.0,68,Documentary,es,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On the Roofs,0.954,4.9,1,"Crime,Comedy",fr,27,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waves '98,1.228,6.4,15,"Drama,Animation,Fantasy",ar,27,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Stille Nacht I: Dramolet,1.228,6.4,1,"Mystery,Animation,Horror",en,26,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Ten Ladies in an Umbrella,0.961,5.9,3,Unknown,fr,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Dead and the Others,1.244,5.8,114,Drama,pt,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"White Out, Black In",1.07,6.404,95,"ScienceFiction,Documentary,Drama",pt,26,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
President McKinley Taking the Oath,0.973,4.615,1,Documentary,en,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Very British Gangster,1.02,6.288,97,"Crime,Documentary",en,26,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Three-Sided Mirror,1.177,6.6,41,Drama,en,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hair-Jitsu,1.244,6.365,5,"Action,Animation",en,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saria,0.974,6.926,23,Drama,es,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
London Street Dancers,0.992,5.4,1,Unknown,en,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Horse and Rider Jumping Over an Obstacle,1.175,5.0,1,Documentary,xx,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pistas para volver a casa,1.045,6.769,89,"Mystery,Comedy,Drama",es,26,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Walking,0.982,6.154,5,Animation,fr,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wagakki Band Japan Tour 2019 REACT -New Chapter-,1.198,5.2,108,Music,ja,26,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
The Famous Box Trick,0.943,5.942,1,Fantasy,fr,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ateliers de La Ciotat,0.967,5.212,1,Documentary,fr,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Exterminator: Ready To Roll,1.259,6.5,113,Comedy,pl,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Attelage d'un camion,0.991,5.2,1,Documentary,fr,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scrooge; or Marley's Ghost,1.088,5.4,6,"Drama,Fantasy",xx,26,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Addition and Subtraction,1.192,5.7,1,Comedy,fr,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coin Operated,1.018,5.9,5,Animation,en,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cook's Revenge,1.002,6.2,1,"Comedy,Fantasy",fr,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Red Zone Cuba,1.158,2.346,89,"Thriller,Action,Adventure",en,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Tchin-Chao, the Chinese Conjurer",1.252,4.75,3,Comedy,fr,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Necrology,1.223,5.712,12,Documentary,en,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Illicit Desires,0.715,5.0,81,Thriller,en,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
An Ostrich Told Me the World Is Fake and I Think I Believe It,1.27,7.038,12,Animation,en,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Enchanted Well,1.215,5.3,3,Fantasy,fr,26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abiogenesis,1.279,5.75,5,"ScienceFiction,Animation",en,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pick Up Your Belongings,1.263,5.8,93,Comedy,fr,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyperlight,1.183,6.0,18,ScienceFiction,en,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
The Brain Hack,1.274,7.115,20,"ScienceFiction,Thriller",en,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
The Insects' Christmas,1.26,6.5,7,"Animation,Fantasy",ru,26,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cousin,1.159,6.962,4,Animation,en,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Red Latex,1.027,5.7,88,Thriller,es,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Rip Meeting the Dwarf,1.271,4.231,1,Unknown,en,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Rip's Toast,0.936,4.154,1,Unknown,en,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Chicago Police Parade,1.0,4.808,1,Documentary,fr,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cat Feud,1.276,6.0,6,Animation,en,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
An Extraordinary Dislocation,1.219,6.0,2,"Comedy,Fantasy",xx,26,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Rio, Zona Norte",1.254,8.135,83,"Drama,Music",pt,26,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Blazes,1.189,4.68,3,Animation,en,26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polish Legends: Jaga,1.233,6.6,13,ScienceFiction,pl,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Exit of Rip and the Dwarf,1.269,4.115,1,"Western,Drama",en,26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
The Unintentional Kidnapping of Mrs. Elfriede Ott,0.983,6.86,113,Comedy,de,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A Spiritualist Photographer,1.177,5.6,2,Fantasy,fr,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Rip Passing Over the Mountain,1.236,4.24,1,Unknown,en,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Bucking Broncho,1.248,4.2,1,Documentary,xx,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Home Made Home,1.225,6.9,7,Animation,en,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Party Crashers 2,0.937,5.9,93,Comedy,pt,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Travels of an Ant,1.212,7.2,10,"Animation,Family",ru,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand - Home of Middle-earth - Part 3,0.888,6.2,7,Unknown,en,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
The Doctor and the Monkey,1.228,5.34,1,Comedy,fr,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Make Me a Sandwich,1.213,6.42,3,"Horror,Comedy",en,25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Curtain Raiser,1.244,6.5,29,"Drama,Romance",fr,25,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Secrets of a Soul,0.975,6.2,75,Drama,de,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Surfers’ Time,0.986,5.9,90,"Comedy,Crime",en,25,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Loops,0.929,5.9,2,Animation,en,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
There's a Man in the Woods,1.146,8.4,4,"Animation,Horror,Drama",en,25,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
‎The Slacker‎,1.136,6.64,90,"Comedy,Action",ru,25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dresden, August-Brücke",0.895,4.9,1,Documentary,de,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dream and Reality,0.941,4.8,1,"Romance,Comedy",en,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
The God,1.185,5.5,4,"Animation,Comedy",ru,25,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Not So Fast,1.182,5.6,2,"Comedy,Horror",en,25,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Luminaris,1.236,6.9,6,"Animation,Family",xx,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
The Spider and the Butterfly,1.197,5.7,2,"Horror,Fantasy",en,25,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Assiettes tournantes,1.177,5.96,1,Unknown,xx,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
That Fatal Sneeze,0.888,5.7,6,"Comedy,ScienceFiction",en,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Der Sieger,1.135,5.6,3,Animation,de,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Man That Was Turned Into Juice,1.221,7.26,97,Drama,pt,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
The Waiter's Dream,0.945,5.6,5,"Animation,Comedy,Fantasy",fr,25,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
In a Corner,0.973,5.5,4,"Drama,Horror,TVMovie",ja,25,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0
Dany Boon: Des Hauts-De-France,1.234,6.1,90,Comedy,fr,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duck Pimples,1.268,5.9,8,"Animation,Comedy,Mystery,Fantasy",en,25,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Bells from the Deep,1.218,6.84,60,Documentary,de,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Damon the Mower,1.209,5.6,3,Animation,en,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ball Passing Through a Soap Bubble,0.96,6.1,1,Documentary,fr,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Apple of My Eye,1.231,5.4,84,"Romance,Comedy",fr,25,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
